0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/aperol-30.jpg HTTP/1.1" 200 22496
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/slides/slide1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/vang4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/Jacob-Creek-Tet-2020.jpg HTTP/1.1" 200 97156
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/george-wyndham-shiraz-cabernet-264.jpg HTTP/1.1" 200 20897
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:52 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:52 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:55 +0700] "GET /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [20/May/2022:14:42:06 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [20/May/2022:14:43:17 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [20/May/2022:14:43:44 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:11 +0700] "GET /LinhWine/dang-ky HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:17 +0700] "GET /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:43 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 1507
