0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/dist/hooks.minf521.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/wp-embed.min9f31.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/dist/i18n.min87d6.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/password-strength-meter.min9f31.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/frontend/password-strength-meter.min287d.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/img/icon_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/flatsome2916.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/dist/vendor/wp-polyfill.min89b1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/css/icons/fl-icons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/assets/user/img/whisky5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/assets/user/img/whisky4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/assets/user/img/whisky3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/assets/user/img/vang5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/assets/user/img/vang2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/assets/user/img/vang3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/assets/user/img/vang1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/assets/user/img/vang4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:14 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:18 +0700] "GET /LinhWine/assets/user/img/slides/slide1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:23 +0700] "GET /LinhWine/assets/user/img/slides/slide2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:38 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:38 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:38 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:38 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:59 +0700] "GET /LinhWine/gio-hang HTTP/1.1" 200 49239
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:59 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:59 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:59 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:59 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:59 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:59 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:59 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:02 +0700] "GET /LinhWine/ HTTP/1.1" 200 129157
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:02 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:02 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:02 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
